id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14644125,Apartment in the center of athens.,58701474,Giannhs,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.990921202388336,23.72869637915032,Entire home/apt,44,1,0,,,1,363
13740526,Sunny Penthouse Apartment In The Centre of Athens,13050106,Spiros,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98266142019457,23.717771760973037,Entire home/apt,30,2,5,2016-08-29,0.51,1,0
11337659,Apartment rental right in Athens,59338228,Giannis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99174244367166,23.727007882200656,Entire home/apt,100,1,0,,,1,365
13838012,Luxury room in the center of Athens,81616738,Γιωργος,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99079077256186,23.72815797175346,Private room,25,1,0,,,1,364
657029,A great budget hotel in Athens..!! ,3310544,George,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98445355137872,23.72082032162135,Entire home/apt,60,1,29,2017-01-21,0.81,1,360
1232080,Penthouse by Archeological Museum,6719288,Ioannis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99138097608707,23.72892531147921,Entire home/apt,32,2,89,2017-01-06,1.90,2,163
6081066,3 SINGLE BEDS ROOM BREAKFAST wi-fi :),556615,Miglen,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.987530775033015,23.726308569397514,Private room,24,2,5,2017-04-02,0.46,29,360
7209432,Superb loft in the center of Athens,3484821,Vakis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98380623295537,23.719444192515418,Entire home/apt,70,1,16,2016-10-22,0.80,1,250
7574956,Lovely room in the city center,39673849,Jason,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98191216963969,23.718411347991903,Private room,25,1,4,2015-08-16,0.19,1,0
8390022,"Dream Athens flat, next to metro!",44206797,Dora,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.991683960639065,23.7217811965216,Private room,26,1,14,2016-10-15,0.72,1,365
